property_id,url,address,disposition,usable_area,location,available_from,furnishing,monthly_rent,energy_fees,security_deposit,admin_fee
885560,https://www.bezrealitky.sk/nehnutelnosti-byty-domy/885560-nabidka-pronajem-bytu-rozvodna-nove-mesto,"Rozvodná, Nové Mesto - Vinohrady, Bratislavský kraj",3-izbový,67 m²,Tichá časť,1. 5. 2025,Vybavené,950,250,1200,950
681059,https://www.bezrealitky.sk/nehnutelnosti-byty-domy/681059-nabidka-pronajem-bytu-dubravka,"Dúbravka - Dúbravka, Bratislavský kraj",2-izbový,48 m²,Tichá časť,1. 2. 2025,Vybavené,600,130,730,600
882252,https://www.bezrealitky.sk/nehnutelnosti-byty-domy/882252-nabidka-pronajem-bytu-skalna-bratislava-mestska-cast-stare-mesto,"Skalná, Bratislava - mestská časť Staré Mesto - Historické jadro, Bratislavský kraj",Garsoniéra,55 m²,Stredisko,17. 3. 2025,Vybavené,640,100,790,790
885471,https://www.bezrealitky.sk/nehnutelnosti-byty-domy/885471-nabidka-pronajem-bytu-jungmannova-petrzalka,"Jungmannova, Petržalka - Dvory, Bratislavský kraj",2-izbový,35 m²,Zaneprázdnená časť,1. 5. 2025,Vybavené,555,175,730,555
885306,https://www.bezrealitky.sk/nehnutelnosti-byty-domy/885306-nabidka-pronajem-bytu-bajkalska-bratislava,"Bajkalská, Ružinov - Nivy, Bratislavský kraj",2-izbový,65 m²,Rezidencie,20. 3. 2025,Vybavené,700,165,700,700
882154,https://www.bezrealitky.sk/nehnutelnosti-byty-domy/882154-nabidka-pronajem-bytu-stavbarska-bratislava,"Stavbárska, Vrakuňa - Vrakuňa, Bratislavský kraj",Garsoniéra,20 m²,Rezidencie,6. 3. 2025,Čiastočne,300,80,400,400
882139,https://www.bezrealitky.sk/nehnutelnosti-byty-domy/882139-nabidka-pronajem-bytu-racianska-bratislava,"Račianska, Nové Mesto - Nové Mesto, Bratislavský kraj",2-izbový,44 m²,Tichá časť,20. 2. 2025,Vybavené,700,150,800,700
884987,https://www.bezrealitky.sk/nehnutelnosti-byty-domy/884987-nabidka-pronajem-bytu-mileticova-bratislava,"Miletičova, Ružinov - Nivy, Bratislavský kraj",1-izbový,40 m²,Hrana,20. 3. 2025,Vybavené,650,650,650,650
885458,https://www.bezrealitky.sk/nehnutelnosti-byty-domy/885458-nabidka-pronajem-bytu-zlta-bratislava,"Žltá, Petržalka - Lúky, Bratislavský kraj",2-izbový,55 m²,Tichá časť,1. 6. 2025,Vybavené,670,230,900,670
885314,https://www.bezrealitky.sk/nehnutelnosti-byty-domy/885314-nabidka-pronajem-bytu-hubeneho-bratislava,"Hubeného, Rača - Krasňany, Bratislavský kraj",2-izbový,50 m²,Tichá časť,20. 3. 2025,Vybavené,650,150,1000,650
885280,https://www.bezrealitky.sk/nehnutelnosti-byty-domy/885280-nabidka-pronajem-bytu-zuzany-chalupovej-bratislava,"Zuzany Chalupovej, Petržalka - Janíkov Dvor, Bratislavský kraj",2-izbový,54 m²,Zaneprázdnená časť,1. 6. 2025,Vybavené,740,90,1680,1680
885233,https://www.bezrealitky.sk/nehnutelnosti-byty-domy/885233-nabidka-pronajem-bytu-hlavacikova-bratislava,"Hlaváčikova, Karlova Ves - Karlova Ves, Bratislavský kraj",3-izbový,70 m²,Tichá časť,1. 4. 2025,Vybavené,700,200,1800,700
881469,https://www.bezrealitky.sk/nehnutelnosti-byty-domy/881469-nabidka-pronajem-bytu-kopcianska-a-bratislava,"Kopčianska a, Petržalka - Kapitulský Dvor, Bratislavský kraj",1+kk,33 m²,Tichá časť,15. 6. 2025,Vybavené,1241,219,737,737
